PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-10-31,15:32:24.03,1,1,"Gaspard, Jackson",804850,Right,MER_BEA,"Kersey, Braydon",10112085,Left,MER_BEA,Undefined,1,Bottom,0,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.13408,-1.426757,-2.40193,1579.487278,240.999109,2:00,5.54201,1.39072,6.62758,-28.67631,8.29575,12.67075,1.84444,0.24592,78.28336,-6.838924,-0.095531,0.437631,,,,,,,,,,,,-7.34552,5.20752,-1.23217,50,5.43377,4.76191,-125.0425,-3.94133,-11.51202,27.6003,-24.01274,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20241031-MercerUniversity-Private-1,db0d5840-97be-11ef-92c5-61f841ef4913,86.1283,,,7.85072,,,,,,,b0c50be1-7f7c-45bb-8930-885e7d19c1e7,2024-10-31,19:32:24.03,2024-10-31T15:32:24.0334556-04:00,2024-10-31T19:32:24.0334556Z,,v3,471354,471354,,"Murray, Miller",10088199,Right,MER_BEA,3282a8ad-a667-43e1-84fc-be8496622694,53.87159,-125.89417,13.80015,5.54396,-3.20037,-12.00637,-1.38459,5.11713,-5.75601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-10-31,15:32:39.27,1,2,"Gaspard, Jackson",804850,Right,MER_BEA,"Kersey, Braydon",10112085,Left,MER_BEA,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.13893,-1.490564,-2.173464,2372.402356,209.127475,1:00,6.04385,1.21488,6.13045,-14.05406,19.45635,10.21741,3.49355,0.05629,82.82059,-4.211583,-0.333103,0.41664,,,,,,,,,,,,-5.92713,10.82831,-1.05395,50,5.92249,4.59397,-132.28573,-3.81061,-10.44432,29.68942,-13.09323,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20241031-MercerUniversity-Private-1,e4192bd0-97be-11ef-92c5-61f841ef4913,90.46754,,,8.31834,,,,,,,b0c50be1-7f7c-45bb-8930-885e7d19c1e7,2024-10-31,19:32:39.27,2024-10-31T15:32:39.2713948-04:00,2024-10-31T19:32:39.2713948Z,,v3,471354,471354,,"Murray, Miller",10088199,Right,MER_BEA,455e50c2-436f-474d-82b2-28194a486004,54.37039,-133.26299,14.84471,6.04083,-3.37963,-6.54662,-1.21082,4.93776,-5.22216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-10-31,15:33:20.14,1,3,"Gaspard, Jackson",804850,Right,MER_BEA,"Kersey, Braydon",10112085,Left,MER_BEA,Undefined,1,Bottom,0,0,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,91.7977,-0.134005,-1.113693,2401.338726,217.176308,1:15,5.98972,1.14066,5.90362,-16.53843,16.76662,11.87623,4.48709,1.09635,83.29221,-3.294596,1.017877,0.415362,89.01678,58.400962,-23.149777,5145.411535,,,,,62.63084,,,-6.41335,8.95315,-1.05796,50,5.96956,2.07306,-133.28828,-0.80571,-11.46132,30.41404,-16.17385,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20241031-MercerUniversity-Private-1,fc798ee0-97be-11ef-92c5-61f841ef4913,90.74608,123.99778,,8.50549,,,,,,,b0c50be1-7f7c-45bb-8930-885e7d19c1e7,2024-10-31,19:33:20.14,2024-10-31T15:33:20.1498844-04:00,2024-10-31T19:33:20.1498844Z,,v3,471354,471354,,"Murray, Miller",10088199,Right,MER_BEA,4e0dec02-5c04-4901-874f-b8238e2bf706,54.59676,-134.33309,15.20702,5.9877,-0.25009,-8.08693,-1.13594,2.46678,-5.73066,172.159156,0.01597,62.90034,-27.05702,7.94397,-2.0179,0.49185,-0.12534,0.02871,-0.0037,4.97865,111.20071,-22.56876,1.35487,0.18271,-0.15782,0.05243,-0.00991,0.0009,-1.11699,-26.89385,5.87335,-3.27897,1.17198,-0.35208,0.09082,-0.01736,0.00175,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
4,2024-10-31,15:33:54.29,2,1,"Gaspard, Jackson",804850,Right,MER_BEA,"Thompson, Zack",1000220619,Right,MER_BEA,Undefined,1,Bottom,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.88082,-3.039972,-1.355955,2353.914241,218.296961,1:15,5.92712,1.14646,5.98657,-16.32351,17.40505,12.89607,1.74573,0.9641,83.26465,-6.134432,0.963193,0.417994,,,,,,,,,,,,-6.9943,10.1069,-1.04646,50,5.67779,2.57399,-131.87675,-7.48386,-12.33027,27.77111,-14.35658,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20241031-MercerUniversity-Private-1,10d75570-97bf-11ef-92c5-61f841ef4913,90.17456,,,7.61617,,,,,,,b0c50be1-7f7c-45bb-8930-885e7d19c1e7,2024-10-31,19:33:54.29,2024-10-31T15:33:54.2920924-04:00,2024-10-31T19:33:54.2920924Z,,v3,471354,471354,,"Murray, Miller",10088199,Right,MER_BEA,974e1e35-b489-4ad3-82cc-86026ed0aadc,54.5147,-132.82407,13.88555,5.92472,-6.99413,-7.17829,-1.14144,2.9946,-6.16513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-10-31,15:34:08.86,2,2,"Gaspard, Jackson",804850,Right,MER_BEA,"Thompson, Zack",1000220619,Right,MER_BEA,Undefined,1,Bottom,1,1,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.63264,-0.463612,-0.551485,2665.394156,68.551757,8:15,5.66485,1.35557,5.58268,-48.85318,-3.78504,-12.66422,1.16074,-0.21484,73.54974,-9.314316,-2.817056,0.483177,,,,,,,,,,,,6.30945,-1.44811,-1.29965,50,5.59267,1.57876,-114.42337,-2.56132,8.47267,18.56456,-34.11863,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20241031-MercerUniversity-Private-1,1991d4b0-97bf-11ef-92c5-61f841ef4913,78.00959,,,5.0829,,,,,,,b0c50be1-7f7c-45bb-8930-885e7d19c1e7,2024-10-31,19:34:08.86,2024-10-31T15:34:08.8628444-04:00,2024-10-31T19:34:08.8628444Z,,v3,471354,471354,,"Murray, Miller",10088199,Right,MER_BEA,79e479be-06bc-4ab7-8c25-def1f3119cbf,54.92275,-115.21929,9.28228,5.67112,-1.09854,-17.05931,-1.35955,1.21552,4.23634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-10-31,15:34:25.45,2,3,"Gaspard, Jackson",804850,Right,MER_BEA,"Thompson, Zack",1000220619,Right,MER_BEA,Undefined,1,Bottom,1,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.40634,-0.975768,-2.186912,2419.915274,219.405257,1:15,5.81004,1.15378,6.36723,-18.23816,15.23434,11.67075,3.39152,0.1129,82.83493,-4.449101,-0.074809,0.416404,,,,,,,,,,,,-6.70162,8.53063,-1.00091,50,5.73076,4.55701,-131.40424,-2.75635,-11.74485,27.23775,-17.22377,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20241031-MercerUniversity-Private-1,23662860-97bf-11ef-92c5-61f841ef4913,90.51884,,,7.57142,,,,,,,b0c50be1-7f7c-45bb-8930-885e7d19c1e7,2024-10-31,19:34:25.45,2024-10-31T15:34:25.4508764-04:00,2024-10-31T19:34:25.4508764Z,,v3,471354,471354,,"Murray, Miller",10088199,Right,MER_BEA,0e5ee5af-dfe9-40a6-a167-39dc85b58046,54.13501,-132.25857,13.61888,5.80875,-2.21611,-8.61188,-1.14962,4.92539,-5.87242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-10-31,15:34:46.56,2,4,"Gaspard, Jackson",804850,Right,MER_BEA,"Thompson, Zack",1000220619,Right,MER_BEA,Undefined,1,Bottom,1,2,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.19994,0.884637,-0.396604,2260.876427,179.402502,12:00,5.7338,1.3469,6.07408,-30.32789,5.76256,-0.04957,4.02515,0.97577,80.50877,-4.745478,-0.405534,0.432382,,,,,,,,,,,,-0.07283,3.09319,-1.31618,50,5.78618,0.88001,-126.83822,0.95379,-0.11992,23.36741,-27.08163,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20241031-MercerUniversity-Private-1,30020080-97bf-11ef-92c5-61f841ef4913,87.17395,,,6.69117,,,,,,,b0c50be1-7f7c-45bb-8930-885e7d19c1e7,2024-10-31,19:34:46.56,2024-10-31T15:34:46.5621212-04:00,2024-10-31T19:34:46.5621212Z,,v3,471354,471354,,"Murray, Miller",10088199,Right,MER_BEA,ab7bd179-a77d-4c46-b79f-9d819e0dc4fc,54.42715,-127.65123,11.68371,5.73661,1.89603,-13.54081,-1.34687,0.88418,-0.05996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-10-31,15:35:03.29,2,5,"Gaspard, Jackson",804850,Right,MER_BEA,"Thompson, Zack",1000220619,Right,MER_BEA,Undefined,1,Bottom,1,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,90.38524,0.703754,-0.484477,2334.643105,209.870537,1:00,5.92173,1.2162,6.36281,-17.26891,15.97213,8.63693,5.13038,1.49006,83.23255,-2.588067,1.079134,0.414962,,,,,,,,,,,,-4.59819,8.43229,-1.18479,50,5.96422,0.7624,-131.51487,1.13778,-8.1314,25.36069,-17.26255,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20241031-MercerUniversity-Private-1,39f3c740-97bf-11ef-92c5-61f841ef4913,90.8334,,,7.15268,,,,,,,b0c50be1-7f7c-45bb-8930-885e7d19c1e7,2024-10-31,19:35:03.29,2024-10-31T15:35:03.2957148-04:00,2024-10-31T19:35:03.2957148Z,,v3,471354,471354,,"Murray, Miller",10088199,Right,MER_BEA,81f3e176-e60e-475a-b78e-5e34a4cfbe1e,54.13824,-132.31046,12.68035,5.92003,1.67933,-8.63127,-1.21271,1.01749,-4.0657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-10-31,15:35:40.22,3,1,"Gaspard, Jackson",804850,Right,MER_BEA,"Lester, Parker",1000077785,Left,MER_BEA,Undefined,1,Bottom,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.38353,-0.359533,-1.653061,2340.458808,203.623831,12:45,5.90993,1.27459,6.4449,-18.30269,15.57021,6.39193,4.0542,0.28787,82.45833,-3.839929,-0.494441,0.418888,,,,,,,,,,,,-3.7476,8.53339,-1.15995,50,5.87586,3.50386,-130.04813,-1.32112,-6.48501,24.60658,-17.40747,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20241031-MercerUniversity-Private-1,4ffa0db0-97bf-11ef-92c5-61f841ef4913,89.9822,,,6.9252,,,,,,,b0c50be1-7f7c-45bb-8930-885e7d19c1e7,2024-10-31,19:35:40.22,2024-10-31T15:35:40.2289884-04:00,2024-10-31T19:35:40.2289884Z,,v3,471354,471354,,"Murray, Miller",10088199,Right,MER_BEA,1e190268-d647-4e57-8f43-959896b3087e,54.05678,-130.81347,12.30329,5.90853,-0.77969,-8.70374,-1.27207,3.70556,-3.2425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-10-31,15:35:57.01,3,2,"Gaspard, Jackson",804850,Right,MER_BEA,"Lester, Parker",1000077785,Left,MER_BEA,Undefined,1,Bottom,1,1,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,85.91394,-1.489649,-1.626599,1548.331238,234.46168,1:45,5.61067,1.30237,6.45014,-28.57734,8.29918,10.06953,1.85971,0.6466,79.17621,-6.834181,0.201208,0.437065,81.22919,-3.820823,2.257675,,,,,19.27381,16.7691,0.313368,0.158628,-5.72363,5.0776,-1.19143,50,5.49219,3.17636,-124.93018,-4.09771,-9.08138,24.24175,-24.11769,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20241031-MercerUniversity-Private-1,5a035410-97bf-11ef-92c5-61f841ef4913,86.23982,1.69019,,6.73774,,,,0.77845,1.69019,-0.66019,b0c50be1-7f7c-45bb-8930-885e7d19c1e7,2024-10-31,19:35:57.01,2024-10-31T15:35:57.0181852-04:00,2024-10-31T19:35:57.0181852Z,GroundBall,v3,471354,471354,,"Murray, Miller",10088199,Right,MER_BEA,a85edcb7-85af-48ee-86dd-0d17b9d6331b,54.05245,-125.71407,12.12088,5.61208,-3.31783,-12.05885,-1.29889,3.47002,-4.54069,326.264256,0.77877,118.75241,-13.63145,,,,,,,1.69047,-7.96182,-17.00709,,,,,,,-0.66023,4.68636,0.88624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
